"","TEHSIL","DISTRICT","PROVINCE","X","Y","Shape_Le_1","Shape_Area","Population","Child Population","Population Density","Poverty","Births","Fertiltiy","Malaria Instance","Distance to Lakes Rivers","Night Lights","Elevation","Children Urban","Women Urban","Household Urban","Urban to Rural Ratio","Radio Instance","Electricity Instance","Television Instance","Mobile Phone Instance","Vacc Card Instance","School Enrolled","Antenatal Care","Child Age","Mother Age","Maternal Education","Num Total Clinics","Penta 1 Total","Penta 3 Total","Penta 1 Per Capita","Penta 3 Per Capital","Penta From Clinic","PentaFromOutreach","TotalClinicsCoverage","TotalOutreachCoverage","TotalFromUnknownCoverage","OutreachClinicRatio"
"1","18-HAZARI","JHANG","PUNJAB",72.0657295292063,31.3081310353422,2.8238274598,0.156673432882,497107.628390812,52406.730413,3172890.38253992,0.601102675851501,10403.879087925,4.62806009249331,0,52406.730413,0.601102675851501,155.796625222025,0,0,0,0,0.0453781512605042,0.899328859060403,0.236974789915966,0.836974789915966,0.246511627906977,0.421487603305785,0.697142857142857,2.07438016528926,28.4214876033058,2.82913165266106,5,21824,21201,0.416435061451312,0.404547275377074,2,58,0.00828137906295223,0.127483625621161,0.269526449917512,0.970190260320077
"2","AHMADPUR EAST","BAHAWALPUR","PUNJAB",71.1599396081915,29.2800524689601,1.93178662251,0.137260383826,1113662.97068812,135026.127508,8113506.16722642,0.8124977762952,27964.8895312101,14.166610704767,0,135026.127508,0.8124977762952,102.583038869258,0.391952309985097,0.506318449873631,0.405162738496072,0.434477832784933,0.054590570719603,0.866004962779156,0.424317617866005,0.738213399503722,0.448780487804878,0.450417052826691,0.770212765957447,2.03316749585406,27.9972196478221,3.36625514403292,33,57645,59814,0.426917375650758,0.442980933423097,25,232,0.0482869509800146,0.11867332860487,0.281456638810502,0.853562123798401
"3","AHMEDPUR SIAL","JHANG","PUNJAB",71.9055061935492,30.8062393232533,1.60514279469,0.081254902888,457973.186314506,50576.470073,5636252.95258511,0.560411954463296,9126.50988033414,7.82048832933517,0,50576.470073,0.560411954463296,138.224699828473,0.386221294363257,0.410457516339869,0.402985074626866,0.399887961776664,0.0571992110453649,0.877952755905512,0.326771653543307,0.822834645669291,0.28921568627451,0.456521739130435,0.660714285714286,1.99033816425121,28.5028985507246,3.26349206349206,12,22545,18735,0.445760646550846,0.370429173347975,0,8,0.0326040943074893,0.0933833459152649,0.245291930854282,0.88267520455354
"4","ALIPUR","MUZAFFARGARH","PUNJAB",70.7561973727939,29.2773205602506,2.1145225361,0.114990192053,628935.260926206,83185.675714,5469468.74074551,0.81460386554304,15739.8999548703,9.65638034041125,0,83185.675714,0.81460386554304,98.915961305925,0.24468085106383,0.367532467532468,0.319148936170213,0.31045408492217,0.0556621880998081,0.842911877394636,0.432950191570881,0.676245210727969,0.520325203252033,0.416098226466576,0.8,2.17117117117117,28.1350613915416,3.63934426229508,16,12252,11863,0.147284972981689,0.14260868711082,11,4,0.0439138105045795,0.0303056984073488,0.0725725907517511,0.623013415892673
"5","ARIFWALA","PAK PATTAN","PUNJAB",73.1006681487953,30.2532075648472,2.24961725073,0.108238775033,856193.818890465,89899.8016049999,7910231.97213224,0.566934847900369,21752.6632745266,13.9440149195683,0,89899.8016049999,0.566934847900369,155.023642172524,0.384201077199282,0.417857142857143,0.411477411477411,0.404511877177945,0.027603513174404,0.958646616541353,0.654135338345865,0.823308270676692,0.593073593073593,0.531548757170172,0.827586206896552,1.99616122840691,28.2007648183556,3.38129496402878,27,55635,50873,0.618855648252129,0.565885564725992,255,459,0.0401224467196087,0.182492060128057,0.354283317998208,0.898271145330964
"6","ATTOCK","ATTOCK","PUNJAB",72.2997244812163,33.7522683270962,2.18616218911,0.105943930102,393456.659553904,37452.829191,3713819.74573809,0.41399349327114,11453.0997203588,7.53493402655187,0,37452.829191,0.41399349327114,410.912614980289,0.422222222222222,0.438729198184569,0.457627118644068,0.43952617968362,0.123115577889447,0.992462311557789,0.763819095477387,0.917085427135678,0.575,0.667247386759582,0.908045977011494,2.01293103448276,28.616724738676,3.67362924281984,13,15627,14196,0.417244847386728,0.37903678591553,20,0,0.0703551656021008,0.0919022694506379,0.219903280417041,0.757611995216631
"7","BAHAWALNAGAR","BAHAWALNAGAR","PUNJAB",73.1792799100773,29.8139238033684,2.16642707859,0.186810514192,939143.134216927,105054.697708,5027249.87551662,0.573597426690885,22961.2477115989,8.63854315711018,21,105054.697708,0.573597426690885,155.212710280374,0.366355140186916,0.453921568627451,0.4,0.406758902938122,0.0264797507788162,0.93944099378882,0.501552795031056,0.770186335403727,0.346456692913386,0.466520307354555,0.722826086956522,1.96631578947368,28.4401756311745,3.43058823529412,32,49044,43487,0.466842521752982,0.413946267504118,70,141,0.0261958775765478,0.104688321797555,0.285841572582178,0.916048930783076
"8","BAHAWALPUR","BAHAWALPUR","PUNJAB",71.4697655146019,29.3385353700444,2.73940957036,0.10962840541,1055597.95547099,114256.993429,9628872.65871609,0.783578614657774,24696.1471797228,15.6701441495703,0,114256.993429,0.783578614657774,114.598355471221,0.415041782729805,0.417525773195876,0.391304347826087,0.407957301250589,0.0421686746987952,0.933734939759036,0.487951807228916,0.742971887550201,0.669491525423729,0.502103786816269,0.81021897810219,1.96449704142012,27.7180925666199,3.52513966480447,17,47906,52485,0.419282868928011,0.459359190408021,110,108,0.0372668654426475,0.132289495341855,0.299815345843901,0.889442800020772
"9","BAHAWALPUR CITY","BAHAWALPUR","PUNJAB",71.6053220874545,29.4342690909222,1.53152630021,0.0228364694867,202797.565078761,21939.131049,8880425.46142568,0.745942277776683,6029.50236344337,18.2712192831617,0,21939.131049,0.745942277776683,114.369230769231,0.481751824817518,0.517203107658158,0.464566929133858,0.487840620536511,0.0570469798657718,0.954697986577181,0.582214765100671,0.73993288590604,0.586206896551724,0.552147239263804,0.849624060150376,2.0625,28.1950920245399,3.62888888888889,13,15456,16539,0.704494629503774,0.753858480678243,4,847,0.0692825981396051,0.276765747305054,0.429825592405576,0.861187214611872
"10","BHAKKAR","BHAKKAR","PUNJAB",71.141746725592,31.5578176593932,2.32535358358,0.173854499289,662595.031514009,75802.791119,3811204.39346566,0.724675492037279,16490.8298339918,6.66565474292313,0,75802.791119,0.724675492037279,165.587740384615,0.274157303370787,0.355289421157685,0.332819722650231,0.320755482392901,0.0520325203252033,0.952922077922078,0.530081300813008,0.830894308943089,0.6,0.519108280254777,0.722972972972973,2.09876543209877,28.468152866242,3.42740286298568,20,30397,27816,0.401001065413025,0.366952187239817,114,161,0.0554992756585386,0.110761093042332,0.204517535187621,0.786555048198884
"11","BHALWAL","SARGODHA","PUNJAB",72.9157789889183,32.33054442393,1.86984629344,0.122544463329,890393.191274237,90377.123062,7265878.58060762,0.539688510642122,20852.3119467497,11.7942940875281,0,90377.123062,0.539688510642122,195.143342776204,0.420289855072464,0.432234432234432,0.419804741980474,0.424109676429123,0.056047197640118,0.982300884955752,0.671091445427729,0.874446085672083,0.566037735849057,0.634984833164813,0.836842105263158,1.91120507399577,28.4064711830131,3.34554140127389,27,39488,36558,0.436924728981588,0.404505020312726,37,35,0.0528894905928888,0.107106750824093,0.245294375931747,0.822627926824743
"12","BHAWANA","CHINIOT","PUNJAB",72.6833114173874,31.5305505350797,1.54797736906,0.0884537512945,632850.140117841,63170.751068,7154587.91578906,0.552538768206752,11460.8393772244,9.00301600724623,0,63170.751068,0.552538768206752,170.90157480315,0.257142857142857,0.299093655589124,0.281449893390192,0.279228802040724,0.0176600441501104,0.927312775330396,0.451541850220264,0.698237885462555,0.448275862068966,0.390784982935154,0.666666666666667,2.05592105263158,28.4829351535836,3.12663755458515,14,23421,20908,0.370757029226842,0.330975960337936,65,211,0.0149119645417226,0.111918884617812,0.211648583782198,0.934181106763555
"13","BUREWALA","VEHARI","PUNJAB",72.7598797082705,30.1316929877632,2.32533131861,0.140263986149,1135909.90667152,117974.296865,8098371.77637928,0.527599605277733,28612.5689194202,14.1296636639112,0,117974.296865,0.527599605277733,145.963914977756,0.422586520947177,0.445392491467577,0.427553444180523,0.431844152198425,0.015990159901599,0.959509202453988,0.668711656441718,0.85398773006135,0.640552995391705,0.619090098126673,0.889473684210526,1.99221789883268,28.9625334522748,3.47118155619597,28,46846,46345,0.39708649464219,0.392839806903306,16,54,0.0513840739982273,0.114694474640385,0.228659976934375,0.816514316847267
"14","CHAK JHUMRA","FAISALABAD","PUNJAB",73.2339938729278,31.6425631369518,1.03382883349,0.0497455691759,417323.469800752,43314.854371,8389158.60677157,0.429166840242116,9954.89524507523,13.7879435527358,0,43314.854371,0.429166840242116,189.423023578363,0.436915887850467,0.448744769874477,0.460767946577629,0.448809534767525,0.037037037037037,0.989473684210526,0.792982456140351,0.905263157894737,0.58,0.761627906976744,0.937931034482759,1.88385269121813,28.2337209302326,3.51145038167939,4,24052,22929,0.555282947369279,0.529356506744978,0,278,0.00810345561810316,0.180630873948829,0.336882120738921,0.976510740815097
"15","CHAKWAL","CHAKWAL","PUNJAB",72.8730407961435,33.0017387703982,2.43162580967,0.21162524639,737022.428455009,67224.957881,3482677.23736876,0.312416692075667,17655.6709444523,5.79824989965592,0,67224.957881,0.312416692075667,472.32118226601,0.349881796690307,0.371609403254973,0.35656836461126,0.359353188185513,0.0968660968660969,0.992887624466572,0.821937321937322,0.877667140825036,0.315789473684211,0.817,0.934782608695652,2,29.094,3.62132352941176,30,35468,33756,0.527601669350014,0.50213493714275,563,401,0.0439717642550649,0.160178605378396,0.311788964406685,0.876400735909015
