,TEHSIL,OBJECTID,PROVINCE,DISTRICT,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,total_teh_obs,Preschool,Primary,Middle,Matric,Above
1,18-HAZARI,335,PUNJAB,JHANG,2.823827462,1656.389408,2.82382746,0.156673433,333,357,0.014005602,0.549019608,0.156862745,0.154061625,0.12605042
2,AHMADPUR EAST,299,PUNJAB,BAHAWALPUR,1.931786626,1478.924056,1.931786623,0.137260384,297,486,0.034979424,0.300411523,0.183127572,0.226337449,0.255144033
3,AHMEDPUR SIAL,336,PUNJAB,JHANG,1.60514279,862.8911235,1.605142795,0.081254903,334,315,0.003174603,0.374603175,0.184126984,0.231746032,0.206349206
4,ALIPUR,372,PUNJAB,MUZAFFARGARH,2.114522537,1237.968804,2.114522536,0.114990192,369,305,0.009836066,0.232786885,0.190163934,0.242622951,0.324590164
5,ARIFWALA,386,PUNJAB,PAK PATTAN,2.39439928,1361.714948,2.249617251,0.108238775,383,556,0.003597122,0.345323741,0.161870504,0.244604317,0.244604317
6,ATTOCK,288,PUNJAB,ATTOCK,2.186162182,1090.680046,2.186162189,0.10594393,286,383,0.007832898,0.253263708,0.127937337,0.279373368,0.331592689
7,BAHAWALNAGAR,294,PUNJAB,BAHAWALNAGAR,2.129121714,1803.39534,2.166427079,0.186810514,292,425,0.009411765,0.341176471,0.143529412,0.221176471,0.284705882
8,BAHAWALPUR,300,PUNJAB,BAHAWALPUR,2.739409568,1181.252134,2.73940957,0.109628405,298,358,0.030726257,0.287709497,0.12849162,0.231843575,0.32122905
9,BAHAWALPUR CITY,301,PUNJAB,BAHAWALPUR,1.531526299,245.8268377,1.5315263,0.022836469,299,450,0.017777778,0.253333333,0.16,0.22,0.348888889
10,BHAKKAR,305,PUNJAB,BHAKKAR,2.325353579,1830.761821,2.325353584,0.173854499,303,489,0.00408998,0.319018405,0.18200409,0.235173824,0.259713701
11,BHALWAL,405,PUNJAB,SARGODHA,1.869846301,1282.585642,1.869846293,0.122544463,402,628,0,0.364649682,0.173566879,0.213375796,0.248407643
12,BHAWANA,313,PUNJAB,CHINIOT,1.547977369,933.5254499,1.547977369,0.088453751,311,229,0.008733624,0.401746725,0.227074236,0.179039301,0.183406114
13,BUREWALA,422,PUNJAB,VEHARI,2.325331321,1501.832367,2.325331319,0.140263986,418,694,0.002881844,0.295389049,0.188760807,0.253602305,0.259365994
14,CHAK JHUMRA,319,PUNJAB,FAISALABAD,1.033828834,524.8894476,1.033828833,0.049745569,317,655,0.004580153,0.26259542,0.18778626,0.306870229,0.238167939
15,CHAKWAL,309,PUNJAB,CHAKWAL,2.431625808,2198.634029,2.43162581,0.211625246,307,816,0,0.238970588,0.192401961,0.276960784,0.291666667
16,CHAUBARA,356,PUNJAB,LAYYAH,2.259733,2940.547238,2.259733002,0.277324077,353,363,0.038567493,0.625344353,0.148760331,0.121212121,0.066115702
17,CHICHAWATNI,403,PUNJAB,SAHIWAL,2.604384834,1587.548238,2.604384835,0.148738681,400,708,0.001412429,0.276836158,0.193502825,0.254237288,0.274011299
18,CHINIOT,314,PUNJAB,CHINIOT,1.654682926,699.4581965,1.654682926,0.066353486,312,392,0.005102041,0.375,0.158163265,0.24744898,0.214285714
19,CHISHTIAN,295,PUNJAB,BAHAWALNAGAR,2.451055327,1823.783943,2.451055317,0.169562479,293,512,0.0078125,0.3046875,0.220703125,0.203125,0.263671875
20,CHOA SAIDAN SHAH,310,PUNJAB,CHAKWAL,1.284637634,501.7189028,1.284637634,0.04814212,308,478,0,0.29707113,0.171548117,0.257322176,0.274058577
21,CHUNIAN,343,PUNJAB,KASUR,1.829771067,1181.824037,1.829771068,0.110947596,341,456,0.002192982,0.293859649,0.223684211,0.210526316,0.269736842
22,DARYA KHAN,306,PUNJAB,BHAKKAR,2.045100053,1384.662065,2.045100055,0.131844215,304,288,0,0.392361111,0.194444444,0.211805556,0.201388889
23,DASKA,415,PUNJAB,SIALKOT,1.762775262,754.4180099,1.762775259,0.071829877,412,968,0.002066116,0.254132231,0.198347107,0.304752066,0.240702479
24,DE-EXCLUDED AREA D.G.KHAN,316,PUNJAB,DERA GHAZI KHAN,3.961722829,5400.391603,3.961722834,0.507164769,314,NA,NA,NA,NA,NA,NA
25,DE-EXCLUDED AREA RAJANPUR,392,PUNJAB,RAJANPUR,4.676385957,4794.030655,4.676385957,0.445137627,389,NA,NA,NA,NA,NA,NA
26,DEPALPUR,383,PUNJAB,OKARA,2.937883462,2560.283077,2.937883461,0.23973558,380,625,0.0016,0.4,0.1584,0.2176,0.2224
27,DERA GHAZI KHAN,317,PUNJAB,DERA GHAZI KHAN,3.019182145,3621.19031,3.019182145,0.338753255,315,607,0.001647446,0.243822076,0.176276771,0.258649094,0.319604613
