,OBJECTID,PROVINCE,DISTRICT,TEHSIL,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,penta3_in_clinic,penta3_out_clinic,proportion
286,288,PUNJAB,ATTOCK,ATTOCK,2.186162182,1090.680046,2.186162189,0.10594393,286,2312,9003,0.795669465
287,289,PUNJAB,ATTOCK,FATEH JANG,1.880922109,1310.418396,1.880922114,0.126920035,287,4181,6428,0.60590065
288,290,PUNJAB,ATTOCK,HASSANABDAL,1.279832651,381.1598371,1.279832648,0.037038711,288,2074,2800,0.574476816
289,291,PUNJAB,ATTOCK,HAZRO,1.211388954,387.0772072,1.211388957,0.03767185,289,2917,5950,0.671027405
290,292,PUNJAB,ATTOCK,JAND,3.181302985,2122.889961,3.181302987,0.205458977,290,3997,9681,0.707778915
291,293,PUNJAB,ATTOCK,PINDI GHEB,2.347844041,1544.914766,2.34784404,0.149286317,291,3977,10861,0.731971964
292,294,PUNJAB,BAHAWALNAGAR,BAHAWALNAGAR,2.129121714,1803.39534,2.166427079,0.186810514,292,2331,29597,0.926991982
293,295,PUNJAB,BAHAWALNAGAR,CHISHTIAN,2.451055327,1823.783943,2.451055317,0.169562479,293,2706,19615,0.878768872
294,296,PUNJAB,BAHAWALNAGAR,FORT ABBAS,2.751614843,2401.524569,2.751614843,0.222078141,294,518,5845,0.918591859
295,297,PUNJAB,BAHAWALNAGAR,HAROONABAD,1.617578582,1130.125824,1.617578582,0.104785487,295,2086,12124,0.85320197
296,298,PUNJAB,BAHAWALNAGAR,MINCHINABAD,2.013803814,1417.679379,2.013803812,0.132189416,296,966,16290,0.944019471
297,299,PUNJAB,BAHAWALPUR,AHMADPUR EAST,1.931786626,1478.924056,1.931786623,0.137260384,297,8338,36762,0.815121951
298,300,PUNJAB,BAHAWALPUR,BAHAWALPUR,2.739409568,1181.252134,2.73940957,0.109628405,298,3426,36298,0.913754909
299,301,PUNJAB,BAHAWALPUR,BAHAWALPUR CITY,1.531526299,245.8268377,1.5315263,0.022836469,299,1430,10444,0.879568806
300,302,PUNJAB,BAHAWALPUR,HASILPUR,2.466033916,1124.316725,2.466033913,0.104523332,300,3027,18154,0.8570889
301,303,PUNJAB,BAHAWALPUR,KHAIRPUR TAMEWALI,1.748005434,725.3348086,1.748005434,0.067444291,301,1474,13285,0.900128735
302,304,PUNJAB,BAHAWALPUR,YAZMAN,8.008162027,19177.74593,8.008162027,1.768815314,302,3774,31096,0.891769429
303,305,PUNJAB,BHAKKAR,BHAKKAR,2.325353579,1830.761821,2.325353584,0.173854499,303,3554,17079,0.82775166
304,306,PUNJAB,BHAKKAR,DARYA KHAN,2.045100053,1384.662065,2.045100055,0.131844215,304,1950,8407,0.811721541
305,307,PUNJAB,BHAKKAR,KALUR KOT,1.938066912,1749.697323,1.938066912,0.167006998,305,1074,10198,0.904719659
306,308,PUNJAB,BHAKKAR,MANKERA,2.753520507,3560.984941,2.753520506,0.337580095,306,992,4746,0.827117463
307,309,PUNJAB,CHAKWAL,CHAKWAL,2.431625808,2198.634029,2.43162581,0.211625246,307,4098,20922,0.836211031
308,310,PUNJAB,CHAKWAL,CHOA SAIDAN SHAH,1.284637634,501.7189028,1.284637634,0.04814212,308,854,4408,0.837704295
309,311,PUNJAB,CHAKWAL,KALLAR KAHAR,1.518710344,831.6598444,1.518710344,0.079859436,309,802,6442,0.889287686
310,312,PUNJAB,CHAKWAL,TALA GANG,2.913187457,3161.008132,2.913187454,0.304179588,310,3206,15770,0.831049747
311,313,PUNJAB,CHINIOT,BHAWANA,1.547977369,933.5254499,1.547977369,0.088453751,311,1793,13574,0.883321403
312,314,PUNJAB,CHINIOT,CHINIOT,1.654682926,699.4581965,1.654682926,0.066353486,312,2703,21048,0.886194266
313,315,PUNJAB,CHINIOT,LALIAN,2.451112265,983.0416609,2.451112269,0.093358465,313,1888,14676,0.88601787
314,316,PUNJAB,DERA GHAZI KHAN,DE-EXCLUDED AREA D.G.KHAN,3.961722829,5400.391603,3.961722834,0.507164769,314,275,2543,0.902413059
315,317,PUNJAB,DERA GHAZI KHAN,DERA GHAZI KHAN,3.019182145,3621.19031,3.019182145,0.338753255,315,13203,57587,0.813490606
316,318,PUNJAB,DERA GHAZI KHAN,TAUNSA,2.636205832,2664.574149,2.636205833,0.251513981,316,6694,23398,0.77754885
317,319,PUNJAB,FAISALABAD,CHAK JHUMRA,1.033828834,524.8894476,1.033828833,0.049745569,317,659,16126,0.960738755
318,320,PUNJAB,FAISALABAD,FAISALABAD CITY,0.711983253,200.95029,0.711983255,0.019007108,318,2178,82303,0.974219055
319,321,PUNJAB,FAISALABAD,FAISALABAD SADDAR,2.493565212,1295.256034,2.493565212,0.122435614,319,4938,48064,0.906833704
320,322,PUNJAB,FAISALABAD,JARANWALA,2.29158472,1733.365502,2.291584722,0.163703285,320,5653,53067,0.903729564
321,323,PUNJAB,FAISALABAD,SAMUNDARI,1.998344997,869.0343859,1.998344998,0.081899872,321,2139,23216,0.915637941
322,324,PUNJAB,FAISALABAD,TANDLIANWALA,2.685672836,1355.244494,2.685672833,0.12751031,322,3298,25407,0.885107124
323,325,PUNJAB,GUJRANWALA,GUJRANWALA,2.07008537,787.2483043,2.070085366,0.074868866,323,4915,37303,0.883580463
324,326,PUNJAB,GUJRANWALA,GUJRANWALA CITY,0.472759845,79.39860746,0.472759844,0.007550861,324,222,43238,0.994891855
325,327,PUNJAB,GUJRANWALA,KAMOKE,1.649437777,681.3004499,1.649437774,0.064660448,325,3116,19446,0.861891676
326,328,PUNJAB,GUJRANWALA,NOWSHERA VIRKHAN,1.526202241,881.9196452,1.526202235,0.083769478,326,2821,18254,0.866144721
327,329,PUNJAB,GUJRANWALA,WAZIRABAD,1.750099175,1211.967391,1.750099177,0.11553483,327,9426,22567,0.70537305
328,330,PUNJAB,GUJRAT,GUJRAT,2.02288037,1437.931139,2.022880368,0.137498587,328,9057,49985,0.846600725
329,331,PUNJAB,GUJRAT,KHARIAN,1.765562521,1267.417757,1.765562519,0.121413241,329,7749,34194,0.815249267
330,332,PUNJAB,GUJRAT,SARAI ALAMGIR,1.304023851,485.8121932,1.304023849,0.046628505,330,3030,9544,0.759026563
331,333,PUNJAB,HAFIZABAD,HAFIZABAD,1.432639558,1102.350742,1.432639559,0.104911762,331,1757,23461,0.930327544
332,334,PUNJAB,HAFIZABAD,PINDI BHATTIAN,1.586322972,1179.651342,1.586322972,0.112138564,332,1489,15524,0.912478693
333,335,PUNJAB,JHANG,18-HAZARI,2.823827462,1656.389408,2.82382746,0.156673433,333,762,15614,0.95346849
334,336,PUNJAB,JHANG,AHMEDPUR SIAL,1.60514279,862.8911235,1.605142795,0.081254903,334,956,13805,0.93523474
335,337,PUNJAB,JHANG,JHANG,3.519360407,2615.343305,3.519360399,0.247510805,335,4477,55049,0.924789168
336,338,PUNJAB,JHANG,SHORKOT,2.403544303,1227.900047,2.403544305,0.115646879,336,1013,18798,0.948866791
