,OBJECTID,PROVINCE,DISTRICT,TEHSIL,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,,penta3_in_clinic,,,,,,total_clinic,,penta3_out_clinic,,,,,,total_outreach,,proportion
286,288,PUNJAB,ATTOCK,ATTOCK,2.186162182,1090.680046,2.186162189,0.10594393,286,,10,18,75,59,1080,1070,2312,,244,356,346,326,3906,3825,9003,,0.795669465
287,289,PUNJAB,ATTOCK,FATEH JANG,1.880922109,1310.418396,1.880922114,0.126920035,287,,45,142,205,140,1672,1977,4181,,213,258,248,268,2840,2601,6428,,0.60590065
288,290,PUNJAB,ATTOCK,HASSANABDAL,1.279832651,381.1598371,1.279832648,0.037038711,288,,17,49,74,43,1021,870,2074,,125,133,113,146,1349,934,2800,,0.574476816
289,291,PUNJAB,ATTOCK,HAZRO,1.211388954,387.0772072,1.211388957,0.03767185,289,,46,81,85,95,1142,1468,2917,,326,360,358,318,2894,1694,5950,,0.671027405
290,292,PUNJAB,ATTOCK,JAND,3.181302985,2122.889961,3.181302987,0.205458977,290,,48,66,114,93,2222,1454,3997,,370,423,369,323,4400,3796,9681,,0.707778915
291,293,PUNJAB,ATTOCK,PINDI GHEB,2.347844041,1544.914766,2.34784404,0.149286317,291,,36,50,133,143,1669,1946,3977,,351,458,449,433,4610,4560,10861,,0.731971964
292,294,PUNJAB,BAHAWALNAGAR,BAHAWALNAGAR,2.129121714,1803.39534,2.166427079,0.186810514,292,,22,25,55,92,995,1142,2331,,777,1199,1246,1408,13697,11270,29597,,0.926991982
293,295,PUNJAB,BAHAWALNAGAR,CHISHTIAN,2.451055327,1823.783943,2.451055317,0.169562479,293,,33,42,51,79,1266,1235,2706,,651,838,1001,1057,9132,6936,19615,,0.878768872
294,296,PUNJAB,BAHAWALNAGAR,FORT ABBAS,2.751614843,2401.524569,2.751614843,0.222078141,294,,5,3,2,12,296,200,518,,186,211,278,273,2740,2157,5845,,0.918591859
295,297,PUNJAB,BAHAWALNAGAR,HAROONABAD,1.617578582,1130.125824,1.617578582,0.104785487,295,,19,59,65,21,962,960,2086,,377,511,639,582,6029,3986,12124,,0.85320197
296,298,PUNJAB,BAHAWALNAGAR,MINCHINABAD,2.013803814,1417.679379,2.013803812,0.132189416,296,,26,25,29,36,440,410,966,,458,715,644,741,7943,5789,16290,,0.944019471
297,299,PUNJAB,BAHAWALPUR,AHMADPUR EAST,1.931786626,1478.924056,1.931786623,0.137260384,297,,209,276,326,289,4068,3170,8338,,853,1369,1473,1565,16533,14969,36762,,0.815121951
298,300,PUNJAB,BAHAWALPUR,BAHAWALPUR,2.739409568,1181.252134,2.73940957,0.109628405,298,,63,95,89,106,1416,1657,3426,,953,1375,1347,1650,15629,15344,36298,,0.913754909
299,301,PUNJAB,BAHAWALPUR,BAHAWALPUR CITY,1.531526299,245.8268377,1.5315263,0.022836469,299,,25,38,69,56,671,571,1430,,213,349,371,372,5265,3874,10444,,0.879568806
300,302,PUNJAB,BAHAWALPUR,HASILPUR,2.466033916,1124.316725,2.466033913,0.104523332,300,,84,114,100,80,1242,1407,3027,,415,596,699,749,8569,7126,18154,,0.8570889
301,303,PUNJAB,BAHAWALPUR,KHAIRPUR TAMEWALI,1.748005434,725.3348086,1.748005434,0.067444291,301,,28,56,46,76,680,588,1474,,316,523,479,525,5854,5588,13285,,0.900128735
302,304,PUNJAB,BAHAWALPUR,YAZMAN,8.008162027,19177.74593,8.008162027,1.768815314,302,,76,140,160,144,1444,1810,3774,,821,1163,1157,1362,13650,12943,31096,,0.891769429
303,305,PUNJAB,BHAKKAR,BHAKKAR,2.325353579,1830.761821,2.325353584,0.173854499,303,,10,22,44,104,1610,1764,3554,,568,593,749,806,7021,7342,17079,,0.82775166
304,306,PUNJAB,BHAKKAR,DARYA KHAN,2.045100053,1384.662065,2.045100055,0.131844215,304,,6,26,52,51,985,830,1950,,202,230,343,285,3700,3647,8407,,0.811721541
305,307,PUNJAB,BHAKKAR,KALUR KOT,1.938066912,1749.697323,1.938066912,0.167006998,305,,18,19,26,44,414,553,1074,,343,398,465,442,4433,4117,10198,,0.904719659
306,308,PUNJAB,BHAKKAR,MANKERA,2.753520507,3560.984941,2.753520506,0.337580095,306,,12,23,52,52,570,283,992,,129,139,195,181,1992,2110,4746,,0.827117463
307,309,PUNJAB,CHAKWAL,CHAKWAL,2.431625808,2198.634029,2.43162581,0.211625246,307,,54,146,150,87,1577,2084,4098,,720,950,937,1053,9256,8006,20922,,0.836211031
308,310,PUNJAB,CHAKWAL,CHOA SAIDAN SHAH,1.284637634,501.7189028,1.284637634,0.04814212,308,,24,40,27,26,422,315,854,,155,210,264,201,2171,1407,4408,,0.837704295
309,311,PUNJAB,CHAKWAL,KALLAR KAHAR,1.518710344,831.6598444,1.518710344,0.079859436,309,,8,17,16,17,369,375,802,,261,283,259,254,2816,2569,6442,,0.889287686
310,312,PUNJAB,CHAKWAL,TALA GANG,2.913187457,3161.008132,2.913187454,0.304179588,310,,48,68,78,108,1613,1291,3206,,605,704,718,804,7575,5364,15770,,0.831049747
