"","TEHSIL","X","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","distance_to_cities","Population","child_population","population_density","radio","electricity","television","mobile_phone","card","antenatal_care","age","mothers_age","school_level","urban_to_rural","penta3_in_clinic","penta3_out_clinic","fac_number","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage","teh_obs","edu_mode"
"1","18-HAZARI",1,4.62806009249331,155.796625222025,0.601102675851501,0.595201760530472,30,56.0106761565836,497107.628390812,52406.730413,3172890.38253992,0.0453781512605042,0.899328859060403,0.236974789915966,0.836974789915966,0.246511627906977,0.697142857142857,2.07438016528926,28.4214876033058,2.82913165266106,0,821,20302,14,0.961132414903186,0.387392990175245,0.0156659267527276,357,2
"2","AHMADPUR EAST",2,14.166610704767,102.583038869258,0.8124977762952,0.66727802157402,45,26.1,1113662.97068812,135026.127508,8113506.16722642,0.054590570719603,0.866004962779156,0.424317617866005,0.738213399503722,0.448780487804878,0.770212765957447,2.03316749585406,27.9972196478221,3.36625514403292,0.434477832784933,9272,50181,27,0.844044875784233,0.371639185142349,0.0686681916390637,486,2
"3","AHMEDPUR SIAL",3,7.82048832933517,138.224699828473,0.560411954463296,0.589007019996643,30,22.393991416309,457973.186314506,50576.470073,5636252.95258511,0.0571992110453649,0.877952755905512,0.326771653543307,0.822834645669291,0.28921568627451,0.660714285714286,1.99033816425121,28.5028985507246,3.26349206349206,0.399887961776664,1062,17640,10,0.943214629451396,0.348778789317229,0.0209979067037924,315,2
"4","ALIPUR",4,9.65638034041125,98.915961305925,0.81460386554304,0.731999009847641,27,42.360338573156,628935.260926206,83185.675714,5469468.74074551,0.0556621880998081,0.842911877394636,0.432950191570881,0.676245210727969,0.520325203252033,0.8,2.17117117117117,28.1350613915416,3.63934426229508,0.31045408492217,2842,8956,17,0.759111713849805,0.107662766733921,0.0341645358483479,305,5
"5","ARIFWALA",5,13.9440149195683,155.023642172524,0.566934847900369,0.527584989865621,5,14.4561740243122,856193.818890465,89899.8016049999,7910231.97213224,0.027603513174404,0.958646616541353,0.654135338345865,0.823308270676692,0.593073593073593,0.827586206896552,1.99616122840691,28.2007648183556,3.38129496402878,0.404511877177945,3354,46424,30,0.932620836514123,0.516397135156949,0.0373082024667501,556,2
"6","ATTOCK",6,7.53493402655187,410.912614980289,0.41399349327114,0.651746511459351,2,42.2393162393162,393456.659553904,37452.829191,3713819.74573809,0.123115577889447,0.992462311557789,0.763819095477387,0.917085427135678,0.575,0.908045977011494,2.01293103448276,28.616724738676,3.67362924281984,0.43952617968362,2480,11690,10,0.824982357092449,0.312125952898884,0.0662166264490361,383,5
"7","BAHAWALNAGAR",7,8.63854315711018,155.212710280374,0.573597426690885,0.617929657300313,7,25.7322424693194,939143.134216927,105054.697708,5027249.87551662,0.0264797507788162,0.93944099378882,0.501552795031056,0.770186335403727,0.346456692913386,0.722826086956522,1.96631578947368,28.4401756311745,3.43058823529412,0.406758902938122,2622,40620,35,0.939364506729569,0.386655722078259,0.0249584269642835,425,2
"8","BAHAWALPUR",8,15.6701441495703,114.598355471221,0.783578614657774,0.517292991280556,22,25.0929791271347,1055597.95547099,114256.993429,9628872.65871609,0.0421686746987952,0.933734939759036,0.487951807228916,0.742971887550201,0.669491525423729,0.81021897810219,1.96449704142012,27.7180925666199,3.52513966480447,0.407957301250589,3660,48312,16,0.929577464788732,0.422836261922307,0.0320330501456293,358,5
"9","BAHAWALPUR CITY",9,18.2712192831617,114.369230769231,0.745942277776683,0.574275016784668,15,18.2730061349693,202797.565078761,21939.131049,8880425.46142568,0.0570469798657718,0.954697986577181,0.582214765100671,0.73993288590604,0.586206896551724,0.849624060150376,2.0625,28.1950920245399,3.62888888888889,0.487840620536511,1467,13915,4,0.904628786893772,0.634254837574082,0.0668668233360531,450,5
"10","BHAKKAR",10,6.66565474292313,165.587740384615,0.724675492037279,0.589412748813629,2,32.7732371794872,662595.031514009,75802.791119,3811204.39346566,0.0520325203252033,0.952922077922078,0.530081300813008,0.830894308943089,0.6,0.722972972972973,2.09876543209877,28.468152866242,3.42740286298568,0.320755482392901,3707,23756,18,0.865018388377089,0.313392154158365,0.0489032124711677,489,2
"11","BHALWAL",11,11.7942940875281,195.143342776204,0.539688510642122,0.497185498476028,0,14.679117147708,890393.191274237,90377.123062,7265878.58060762,0.056047197640118,0.982300884955752,0.671091445427729,0.874446085672083,0.566037735849057,0.836842105263158,1.91120507399577,28.4064711830131,3.34554140127389,0.424109676429123,5174,31286,31,0.85809105869446,0.346171674202744,0.057249000905357,628,2
"12","BHAWANA",12,9.00301600724623,170.90157480315,0.552538768206752,0.539451494812965,6,23.3435534591195,632850.140117841,63170.751068,7154587.91578906,0.0176600441501104,0.927312775330396,0.451541850220264,0.698237885462555,0.448275862068966,0.666666666666667,2.05592105263158,28.4829351535836,3.12663755458515,0.279228802040724,2131,18386,18,0.896134912511576,0.291052420450224,0.0337339664951283,229,2
"13","BUREWALA",13,14.1296636639112,145.963914977756,0.527599605277733,0.549842014908791,6,20.9851851851852,1135909.90667152,117974.296865,8098371.77637928,0.015990159901599,0.959509202453988,0.668711656441718,0.85398773006135,0.640552995391705,0.889473684210526,1.99221789883268,28.9625334522748,3.47118155619597,0.431844152198425,4687,41563,31,0.898659459459459,0.352305553874682,0.039728992878537,694,2
"14","CHAK JHUMRA",14,13.7879435527358,189.423023578363,0.429166840242116,0.452661991119385,0,6.9500693481276,417323.469800752,43314.854371,8389158.60677157,0.037037037037037,0.989473684210526,0.792982456140351,0.905263157894737,0.58,0.937931034482759,1.88385269121813,28.2337209302326,3.51145038167939,0.448809534767525,873,21678,16,0.961287747771717,0.500474959798405,0.0201547485886155,655,4
"15","CHAKWAL",15,5.79824989965592,472.32118226601,0.312416692075667,0.50925699621439,0,31.767816091954,737022.428455009,67224.957881,3482677.23736876,0.0968660968660969,0.992887624466572,0.821937321937322,0.877667140825036,0.315789473684211,0.934782608695652,2,29.094,3.62132352941176,0.359353188185513,4532,27518,33,0.858595943837754,0.409342019205303,0.0674154382963309,816,5
"16","CHAUBARA",16,1.61509481089558,145.71675,0.774812699258328,0.746236407756805,0,62.99975,262461.886837103,30654.287926,946408.582679027,0.0725663716814159,0.542402826855124,0.27208480565371,0.881625441696113,0.645833333333333,0.536170212765957,2.00680272108844,27.7345132743363,2.55096418732782,0,1726,11578,8,0.870264582080577,0.377695936958298,0.0563053366030421,363,2
"17","CHICHAWATNI",17,14.3499591548494,153.749530956848,0.504868040974014,0.453020989894867,3,19.4626935710934,1230347.14624386,123338.692326,8271870.76138356,0.0738569753810082,0.946943483275663,0.66320645905421,0.860438292964245,0.409090909090909,0.896551724137931,1.93621013133208,28.0025884383089,3.5225988700565,0.378210252141233,2682,35192,44,0.929186249141892,0.285328142664129,0.0217450010975561,708,2
"18","CHINIOT",18,13.5477556724488,181.98121085595,0.43497073045879,0.44437500834465,5,12.269392033543,467005.435694354,46668.786885,7038144.74564358,0.036741214057508,0.960063897763578,0.562300319488818,0.8256,0.537037037037037,0.719101123595506,1.97045454545455,28.020618556701,3.29081632653061,0.423828234695323,2828,28170,16,0.908768307632751,0.603615432931989,0.0605972468701336,392,2
"19","CHISHTIAN",19,7.96600497671682,146.708333333333,0.675830334217843,0.68757352232933,8,27.022894521668,780803.271533055,83898.1037339999,4604811.59832412,0.0365659777424483,0.96031746031746,0.585714285714286,0.807936507936508,0.43801652892562,0.814814814814815,1.89795918367347,27.6802721088435,3.41015625,0.390912915305553,2795,27526,31,0.907819662939877,0.328088464159709,0.0333142213662133,512,2
"20","CHOA SAIDAN SHAH",20,6.2969965473742,665.519480519481,0.447197671582445,NA,0,36.8789625360231,170907.258360337,15831.238978,3550056.73907929,0.0751173708920188,0.995305164319249,0.802816901408451,0.889671361502347,0.222222222222222,0.902777777777778,2.14150943396226,28.7430894308943,3.50836820083682,0.347862608221945,1110,5583,8,0.834155087404751,0.352657174069475,0.0701145375635173,478,2
"21","CHUNIAN",21,14.4435216660628,187.582286432161,0.550415006343514,0.457308009266853,12,15.0857858484659,915601.752857614,105279.943199,8252560.55354773,0.0102639296187683,0.959124087591241,0.484626647144949,0.811678832116788,0.467455621301775,0.685990338164251,2.1028880866426,27.5663900414938,3.45175438596491,0.388238553656494,3290,27645,20,0.893647971553257,0.26258562799322,0.0312500168601084,456,2
"22","DARYA KHAN",22,4.84631782080724,178.116071428571,0.760152435133688,0.758242011070251,0,40.2169117647059,360979.779108197,40405.330278,2737926.56547173,0.0733752620545073,0.90146750524109,0.452830188679245,0.82563025210084,0.308411214953271,0.647540983606557,2.05135951661631,28.0546218487395,3.22222222222222,0.361900530783916,2062,11175,10,0.844224522172698,0.276572420596809,0.0510328708072143,288,2
"23","DASKA",23,23.4352776148498,231.571014492754,0.406716299920842,0.560621023178101,0,9.92946859903382,1016790.99566206,111760.219659,14155544.0641533,0.0360248447204969,0.998760842627014,0.788104089219331,0.921933085501859,0.666666666666667,0.824742268041237,1.88429752066116,27.5981922760887,3.52789256198347,0.419300213735784,7658,34266,25,0.817336132048469,0.306602833320761,0.0685216978220506,968,4
"24","DE-EXCLUDED AREA D.G.KHAN",24,0.687988766486662,755.871851040526,0.807933845482807,0.284358110692766,0,174.539841182913,195673.58979287,26813.946032,385818.577358787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,4621,4,0.935046539862404,0.172335694063278,0.0119713823402537,NA,NA
"25","DE-EXCLUDED AREA RAJANPUR",25,0.0989869280708237,551.947105632704,0.945489113827174,-1.04905816912651,0,296.248751560549,69528.5922853128,8182.601558,156195.720343814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,200,NA,1,0.0244421042112778,0,NA,NA
"26","DEPALPUR",26,11.6641021957542,175.181074766355,0.673066214420478,0.5196440021197,23,24.2384682332463,1600542.69237053,181696.848671,6676283.46936845,0.018450184501845,0.953038674033149,0.529953917050691,0.791896869244936,0.549295774647887,0.765567765567766,2.02418207681366,27.9418181818182,3.2592,0.36328384896335,4535,39417,57,0.896819257371678,0.216938269916682,0.0249591560512509,625,2
