"","Tehsil","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density"
"1","18-HAZARI",335,"PUNJAB","JHANG","18-HAZARI",2.82382746245,1656.38940765,2.8238274598,0.156673432882,"333",4.62806009249331,155.796625222025,0.601102675851501,0.595201760530472,30,0,497107.628390812,52406.730413,3172890.38253992
"2","AHMADPUR EAST",299,"PUNJAB","BAHAWALPUR","AHMADPUR EAST",1.93178662608,1478.92405598,1.93178662251,0.137260383826,"297",14.166610704767,102.583038869258,0.8124977762952,0.66727802157402,45,0,1113662.97068812,135026.127508,8113506.16722642
"3","AHMEDPUR SIAL",336,"PUNJAB","JHANG","AHMEDPUR SIAL",1.60514279042,862.891123494,1.60514279469,0.081254902888,"334",7.82048832933517,138.224699828473,0.560411954463296,0.589007019996643,30,0,457973.186314506,50576.470073,5636252.95258511
"4","ALIPUR",372,"PUNJAB","MUZAFFARGARH","ALIPUR",2.11452253728,1237.96880365,2.1145225361,0.114990192053,"369",9.65638034041125,98.915961305925,0.81460386554304,0.731999009847641,27,0,628935.260926206,83185.675714,5469468.74074551
"5","ARIFWALA",386,"PUNJAB","PAK PATTAN","ARIFWALA",2.39439927974,1361.71494823,2.24961725073,0.108238775033,"383",13.9440149195683,155.023642172524,0.566934847900369,0.527584989865621,5,0,856193.818890465,89899.8016049999,7910231.97213224
"6","ATTOCK",288,"PUNJAB","ATTOCK","ATTOCK",2.18616218185,1090.68004581,2.18616218911,0.105943930102,"286",7.53493402655187,410.912614980289,0.41399349327114,0.651746511459351,2,0,393456.659553904,37452.829191,3713819.74573809
"7","BAHAWALNAGAR",294,"PUNJAB","BAHAWALNAGAR","BAHAWALNAGAR",2.12912171388,1803.39534023,2.16642707859,0.186810514192,"292",8.63854315711018,155.212710280374,0.573597426690885,0.617929657300313,7,0,939143.134216927,105054.697708,5027249.87551662
"8","BAHAWALPUR",300,"PUNJAB","BAHAWALPUR","BAHAWALPUR",2.73940956816,1181.25213355,2.73940957036,0.10962840541,"298",15.6701441495703,114.598355471221,0.783578614657774,0.517292991280556,22,0,1055597.95547099,114256.993429,9628872.65871609
"9","BAHAWALPUR CITY",301,"PUNJAB","BAHAWALPUR","BAHAWALPUR CITY",1.53152629898,245.826837743,1.53152630021,0.0228364694867,"299",18.2712192831617,114.369230769231,0.745942277776683,0.574275016784668,15,0,202797.565078761,21939.131049,8880425.46142568
"10","BHAKKAR",305,"PUNJAB","BHAKKAR","BHAKKAR",2.32535357851,1830.76182111,2.32535358358,0.173854499289,"303",6.66565474292313,165.587740384615,0.724675492037279,0.589412748813629,2,0,662595.031514009,75802.791119,3811204.39346566
"11","BHALWAL",405,"PUNJAB","SARGODHA","BHALWAL",1.86984630083,1282.58564193,1.86984629344,0.122544463329,"402",11.7942940875281,195.143342776204,0.539688510642122,0.497185498476028,0,0,890393.191274237,90377.123062,7265878.58060762
"12","BHAWANA",313,"PUNJAB","CHINIOT","BHAWANA",1.54797736939,933.525449936,1.54797736906,0.0884537512945,"311",9.00301600724623,170.90157480315,0.552538768206752,0.539451494812965,6,0,632850.140117841,63170.751068,7154587.91578906
"13","BUREWALA",422,"PUNJAB","VEHARI","BUREWALA",2.32533132057,1501.83236697,2.32533131861,0.140263986149,"418",14.1296636639112,145.963914977756,0.527599605277733,0.549842014908791,6,0,1135909.90667152,117974.296865,8098371.77637928
"14","CHAK JHUMRA",319,"PUNJAB","FAISALABAD","CHAK JHUMRA",1.03382883415,524.889447645,1.03382883349,0.0497455691759,"317",13.7879435527358,189.423023578363,0.429166840242116,0.452661991119385,0,0,417323.469800752,43314.854371,8389158.60677157
"15","CHAKWAL",309,"PUNJAB","CHAKWAL","CHAKWAL",2.43162580846,2198.63402934,2.43162580967,0.21162524639,"307",5.79824989965592,472.32118226601,0.312416692075667,0.50925699621439,0,0,737022.428455009,67224.957881,3482677.23736876
"16","CHAUBARA",356,"PUNJAB","LAYYAH","CHAUBARA",2.25973300018,2940.54723847,2.25973300174,0.277324077191,"353",1.61509481089558,145.71675,0.774812699258328,0.746236407756805,0,0,262461.886837103,30654.287926,946408.582679027
"17","CHICHAWATNI",403,"PUNJAB","SAHIWAL","CHICHAWATNI",2.60438483431,1587.54823798,2.60438483507,0.148738680975,"400",14.3499591548494,153.749530956848,0.504868040974014,0.453020989894867,3,0,1230347.14624386,123338.692326,8271870.76138356
"18","CHINIOT",314,"PUNJAB","CHINIOT","CHINIOT",1.6546829257,699.458196472,1.65468292555,0.0663534855522,"312",13.5477556724488,181.98121085595,0.43497073045879,0.44437500834465,5,0,467005.435694354,46668.786885,7038144.74564358
"19","CHISHTIAN",295,"PUNJAB","BAHAWALNAGAR","CHISHTIAN",2.45105532732,1823.78394265,2.45105531731,0.169562479346,"293",7.96600497671682,146.708333333333,0.675830334217843,0.68757352232933,8,0,780803.271533055,83898.1037339999,4604811.59832412
