"","DISTRICT","TEHSIL","X.1","PROVINCE","X","Tehsil","OBJECTID","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density","radio","electricity","television","mobile_phone","dtp_boolean","card","school_boolean","antenatal_care","age","mothers_age","dtp_number","school_level","wm_urban","hh_urban","ch_urban","urban_to_rural","distance_to_cities","penta3_in_clinic","penta3_out_clinic","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"1","ATTOCK","ATTOCK",1,"PUNJAB",6,"ATTOCK",288,2.18616218185,1090.68004581,2.18616218911,0.105943930102,286,7.53493402655187,410.912614980289,0.41399349327114,0.651746511459351,2,0,393456.659553904,37452.829191,3713819.74573809,0.123115577889447,0.992462311557789,0.763819095477387,0.917085427135678,0.792452830188679,0.575,0.667247386759582,0.908045977011494,2.01293103448276,28.616724738676,2.80952380952381,3.67362924281984,0.438729198184569,0.457627118644068,0.422222222222222,0.43952617968362,42.2393162393161,1199,4968,0.80557807686071,0.132646854918875,0.0320136028679009
"2","ATTOCK","FATEH JANG",2,"PUNJAB",27,"FATEH JANG",289,1.88092210929,1310.41839628,1.8809221135,0.126920035436,287,4.7181343734914,480.145981410607,0.488432604837847,0.548298001289368,0,0,338325.102530492,30952.700811,2665655.59462906,0.098159509202454,0.997955010224949,0.777096114519427,0.895918367346939,0.722222222222222,0.464285714285714,0.635714285714286,0.834862385321101,1.92779783393502,29.1242857142857,2.69230769230769,3.49887640449438,0.418604651162791,0.428571428571429,0.43,0.425725359911406,26.2064445658112,2378,3570,0.600201748486886,0.11533726965536,0.0768268983866799
"3","ATTOCK","HASSANABDAL",3,"PUNJAB",37,"HASSANABDAL",290,1.27983265136,381.159837084,1.27983264822,0.0370387113205,288,10.0531053142013,441.619402985075,0.409910406194516,0.590184986591339,0,0,259011.582947462,24474.180831,6992996.6165995,0.14207650273224,0.997275204359673,0.760217983651226,0.918478260869565,0.65,0.5,0.667870036101083,0.896551724137931,1.83206106870229,29.0974729241877,2.52,3.44324324324324,0.492610837438424,0.507042253521127,0.498281786941581,0.499311625967044,15.1753731343284,1101,1654,0.600362976406534,0.0675814243353541,0.0449861839136789
"4","ATTOCK","JAND",4,"PUNJAB",42,"JAND",292,3.18130298531,2122.88996139,3.18130298674,0.205458977304,290,2.8754149862062,360.239607975667,0.365268641270501,0.781081259250641,7,0,353289.81147523,35444.790588,1719515.08817499,0.141057934508816,0.964735516372796,0.768261964735516,0.904040404040404,0.847826086956522,0.641025641025641,0.727099236641221,0.845238095238095,1.9238578680203,29.5381679389313,2.82051282051282,3.56692913385827,0.428805237315876,0.398230088495575,0.394736842105263,0.407257389305571,39.4317106152806,2016,5374,0.727198917456022,0.151616074205821,0.0568771874951499
"5","ATTOCK","PINDI GHEB",5,"PUNJAB",91,"PINDI GHEB",293,2.3478440407,1544.9147662,2.34784403995,0.149286317059,291,3.57054416414309,396.510697674419,0.399279444782248,0.710567981004715,0,0,307034.400701722,29240.182202,2056681.46117087,0.125570776255708,0.990909090909091,0.775,0.915909090909091,0.857142857142857,0.612903225806452,0.692682926829268,0.909090909090909,1.91025641025641,28.9268292682927,2.85,3.61737089201878,0.44683908045977,0.428571428571429,0.399267399267399,0.424892636099533,40.2885062819918,2252,6073,0.72948948948949,0.207693644247696,0.0770173039429955
"6","BAHAWALNAGAR","BAHAWALNAGAR",6,"PUNJAB",7,"BAHAWALNAGAR",294,2.12912171388,1803.39534023,2.16642707859,0.186810514192,292,8.63854315711018,155.212710280374,0.573597426690885,0.617929657300313,7,21,939143.134216927,105054.697708,5027249.87551662,0.0264797507788162,0.93944099378882,0.501552795031056,0.770186335403727,0.734104046242775,0.346456692913386,0.466520307354555,0.722826086956522,1.96631578947368,28.4401756311745,2.47619047619048,3.43058823529412,0.453921568627451,0.4,0.366355140186916,0.406758902938122,25.7322424693195,1652,26660,0.941650183667703,0.253772564022806,0.0157251416266195
"7","BAHAWALNAGAR","CHISHTIAN",7,"PUNJAB",19,"CHISHTIAN",295,2.45105532732,1823.78394265,2.45105531731,0.169562479346,293,7.96600497671682,146.708333333333,0.675830334217843,0.68757352232933,8,0,780803.271533055,83898.1037339999,4604811.59832412,0.0365659777424483,0.96031746031746,0.585714285714286,0.807936507936508,0.777027027027027,0.43801652892562,0.580498866213152,0.814814814814815,1.89795918367347,27.6802721088435,2.49122807017544,3.41015625,0.430470347648262,0.398268398268398,0.344,0.390912915305553,27.0228945216682,1595,21203,0.930037722607246,0.252723232782762,0.0190111567367121
"8","BAHAWALNAGAR","FORT ABBAS",8,"PUNJAB",29,"FORT ABBAS",296,2.75161484274,2401.52456911,2.75161484294,0.222078140748,294,3.49679300610209,139.115845959596,0.862599338623605,0.752008001009623,0,80,453544.081434717,49017.089091,2042272.50780782,0.0573122529644269,0.925343811394892,0.463654223968566,0.868369351669941,0.365384615384615,0.394736842105263,0.631506849315069,0.728476821192053,2.00252525252525,28.5095890410959,2.02777777777778,3.25162689804772,0.333733493397359,0.330909090909091,0.309090909090909,0.324577831132453,113.488255559038,312,6279,0.952662721893491,0.128098182010422,0.0063651270564185
"9","BAHAWALNAGAR","HAROONABAD",9,"PUNJAB",35,"HAROONABAD",297,1.61757858231,1130.12582369,1.61757858226,0.104785487036,295,10.0743170035575,150.913621262458,0.717990648900131,0.579160988330841,0,1,580463.022131564,60382.327055,5539536.42389562,0.0512295081967213,0.969325153374233,0.633946830265849,0.867075664621677,0.560747663551402,0.405797101449275,0.643908969210174,0.864864864864865,2.00534759358289,28.4283801874163,2.4406779661017,3.40748440748441,0.399297423887588,0.405204460966543,0.381944444444444,0.395482109766192,26.1606080634501,1300,13152,0.910047052311099,0.217812075841667,0.0215294782994348
"10","BAHAWALNAGAR","MINCHINABAD",10,"PUNJAB",74,"MINCHINABAD",298,2.01380381391,1417.67937901,2.01380381224,0.132189415974,296,7.47025761546936,167.1008492569,0.729385124024334,0.705475986003876,0,31,533592.600014619,61534.775079,4036575.81874459,0.016,0.922,0.422845691382766,0.748,0.642276422764228,0.33,0.407796101949025,0.689189189189189,2.01020408163265,28.1949025487256,2.68354430379747,3.11397058823529,0.409703504043127,0.391304347826087,0.375565610859729,0.392191154242981,37.9068911099422,950,14650,0.939102564102564,0.238076761980391,0.0154384248383189
