"","TEHSIL","Tehsil","OBJECTID","PROVINCE","DISTRICT","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","distance_to_cities","Population","child_population","population_density","radio.x","radio.y","radio","electricity.x","electricity.y","electricity","television.x","television.y","television","mobile_phone.x","mobile_phone.y","mobile_phone","dtp_boolean.x","dtp_boolean.y","dtp_boolean","card.x","card.y","card","school_boolean.x","school_boolean.y","school_boolean","antenatal_care.x","antenatal_care.y","antenatal_care","age.x","age.y","age","mothers_age.x","mothers_age.y","mothers_age","dtp_number.x","dtp_number.y","dtp_number","school_level.x","school_level.y","school_level","wm_urban.x","wm_urban.y","wm_urban","hh_urban.x","hh_urban.y","hh_urban","ch_urban.x","ch_urban.y","ch_urban","urban_to_rural"
"1","18-HAZARI","18-HAZARI",335,"PUNJAB","JHANG",2.82382746245,1656.38940765,2.8238274598,0.156673432882,"333",4.62806009249331,155.796625222025,0.601102675851501,0.595201760530472,30,56.0106761565836,497107.628390812,52406.730413,3172890.38253992,0,0.0453781512605042,0.0453781512605042,0,0.899328859060403,0.899328859060403,0,0.236974789915966,0.236974789915966,0,0.836974789915966,0.836974789915966,0,0.75,0.75,0,0.246511627906977,0.246511627906977,0,0.421487603305785,0.421487603305785,0,0.697142857142857,0.697142857142857,0,2.07438016528926,2.07438016528926,0,28.4214876033058,28.4214876033058,0,2.60109289617486,2.60109289617486,0,2.82913165266106,2.82913165266106,0,0,0,0,0,0,0,0,0,0
"2","AHMADPUR EAST","AHMADPUR EAST",299,"PUNJAB","BAHAWALPUR",1.93178662608,1478.92405598,1.93178662251,0.137260383826,"297",14.166610704767,102.583038869258,0.8124977762952,0.66727802157402,45,26.1,1113662.97068812,135026.127508,8113506.16722642,0,0.054590570719603,0.054590570719603,0,0.866004962779156,0.866004962779156,0,0.424317617866005,0.424317617866005,0,0.738213399503722,0.738213399503722,0,0.584070796460177,0.584070796460177,0,0.448780487804878,0.448780487804878,0,0.450417052826691,0.450417052826691,0,0.770212765957447,0.770212765957447,0,2.03316749585406,2.03316749585406,0,27.9972196478221,27.9972196478221,0,2.5748031496063,2.5748031496063,0,3.36625514403292,3.36625514403292,0,0.506318449873631,0.506318449873631,0,0.405162738496072,0.405162738496072,0,0.391952309985097,0.391952309985097,0.434477832784933
"3","AHMEDPUR SIAL","AHMEDPUR SIAL",336,"PUNJAB","JHANG",1.60514279042,862.891123494,1.60514279469,0.081254902888,"334",7.82048832933517,138.224699828473,0.560411954463296,0.589007019996643,30,22.393991416309,457973.186314506,50576.470073,5636252.95258511,0,0.0571992110453649,0.0571992110453649,0,0.877952755905512,0.877952755905512,0,0.326771653543307,0.326771653543307,0,0.822834645669291,0.822834645669291,0,0.752475247524752,0.752475247524752,0,0.28921568627451,0.28921568627451,0,0.456521739130435,0.456521739130435,0,0.660714285714286,0.660714285714286,0,1.99033816425121,1.99033816425121,0,28.5028985507246,28.5028985507246,0,2.63815789473684,2.63815789473684,0,3.26349206349206,3.26349206349206,0,0.410457516339869,0.410457516339869,0,0.402985074626866,0.402985074626866,0,0.386221294363257,0.386221294363257,0.399887961776664
"4","ALIPUR","ALIPUR",372,"PUNJAB","MUZAFFARGARH",2.11452253728,1237.96880365,2.1145225361,0.114990192053,"369",9.65638034041125,98.915961305925,0.81460386554304,0.731999009847641,27,42.360338573156,628935.260926206,83185.675714,5469468.74074551,0,0.0556621880998081,0.0556621880998081,0,0.842911877394636,0.842911877394636,0,0.432950191570881,0.432950191570881,0,0.676245210727969,0.676245210727969,0,0.752427184466019,0.752427184466019,0,0.520325203252033,0.520325203252033,0,0.416098226466576,0.416098226466576,0,0.8,0.8,0,2.17117117117117,2.17117117117117,0,28.1350613915416,28.1350613915416,0,2.52903225806452,2.52903225806452,0,3.63934426229508,3.63934426229508,0,0.367532467532468,0.367532467532468,0,0.319148936170213,0.319148936170213,0,0.24468085106383,0.24468085106383,0.31045408492217
"5","ARIFWALA","ARIFWALA",386,"PUNJAB","PAK PATTAN",2.39439927974,1361.71494823,2.24961725073,0.108238775033,"383",13.9440149195683,155.023642172524,0.566934847900369,0.527584989865621,5,14.4561740243122,856193.818890465,89899.8016049999,7910231.97213224,0,0.027603513174404,0.027603513174404,0,0.958646616541353,0.958646616541353,0,0.654135338345865,0.654135338345865,0,0.823308270676692,0.823308270676692,0,0.781990521327014,0.781990521327014,0,0.593073593073593,0.593073593073593,0,0.531548757170172,0.531548757170172,0,0.827586206896552,0.827586206896552,0,1.99616122840691,1.99616122840691,0,28.2007648183556,28.2007648183556,0,2.71951219512195,2.71951219512195,0,3.38129496402878,3.38129496402878,0,0.417857142857143,0.417857142857143,0,0.411477411477411,0.411477411477411,0,0.384201077199282,0.384201077199282,0.404511877177945
"6","ATTOCK","ATTOCK",288,"PUNJAB","ATTOCK",2.18616218185,1090.68004581,2.18616218911,0.105943930102,"286",7.53493402655187,410.912614980289,0.41399349327114,0.651746511459351,2,42.2393162393162,393456.659553904,37452.829191,3713819.74573809,0,0.123115577889447,0.123115577889447,0,0.992462311557789,0.992462311557789,0,0.763819095477387,0.763819095477387,0,0.917085427135678,0.917085427135678,0,0.792452830188679,0.792452830188679,0,0.575,0.575,0,0.667247386759582,0.667247386759582,0,0.908045977011494,0.908045977011494,0,2.01293103448276,2.01293103448276,0,28.616724738676,28.616724738676,0,2.80952380952381,2.80952380952381,0,3.67362924281984,3.67362924281984,0,0.438729198184569,0.438729198184569,0,0.457627118644068,0.457627118644068,0,0.422222222222222,0.422222222222222,0.43952617968362
"7","BAHAWALNAGAR","BAHAWALNAGAR",294,"PUNJAB","BAHAWALNAGAR",2.12912171388,1803.39534023,2.16642707859,0.186810514192,"292",8.63854315711018,155.212710280374,0.573597426690885,0.617929657300313,7,25.7322424693194,939143.134216927,105054.697708,5027249.87551662,0,0.0264797507788162,0.0264797507788162,0,0.93944099378882,0.93944099378882,0,0.501552795031056,0.501552795031056,0,0.770186335403727,0.770186335403727,0,0.734104046242775,0.734104046242775,0,0.346456692913386,0.346456692913386,0,0.466520307354555,0.466520307354555,0,0.722826086956522,0.722826086956522,0,1.96631578947368,1.96631578947368,0,28.4401756311745,28.4401756311745,0,2.47619047619048,2.47619047619048,0,3.43058823529412,3.43058823529412,0,0.453921568627451,0.453921568627451,0,0.4,0.4,0,0.366355140186916,0.366355140186916,0.406758902938122
"8","BAHAWALPUR","BAHAWALPUR",300,"PUNJAB","BAHAWALPUR",2.73940956816,1181.25213355,2.73940957036,0.10962840541,"298",15.6701441495703,114.598355471221,0.783578614657774,0.517292991280556,22,25.0929791271347,1055597.95547099,114256.993429,9628872.65871609,0,0.0421686746987952,0.0421686746987952,0,0.933734939759036,0.933734939759036,0,0.487951807228916,0.487951807228916,0,0.742971887550201,0.742971887550201,0,0.838983050847458,0.838983050847458,0,0.669491525423729,0.669491525423729,0,0.502103786816269,0.502103786816269,0,0.81021897810219,0.81021897810219,0,1.96449704142012,1.96449704142012,0,27.7180925666199,27.7180925666199,0,2.5959595959596,2.5959595959596,0,3.52513966480447,3.52513966480447,0,0.417525773195876,0.417525773195876,0,0.391304347826087,0.391304347826087,0,0.415041782729805,0.415041782729805,0.407957301250589
"9","BAHAWALPUR CITY","BAHAWALPUR CITY",301,"PUNJAB","BAHAWALPUR",1.53152629898,245.826837743,1.53152630021,0.0228364694867,"299",18.2712192831617,114.369230769231,0.745942277776683,0.574275016784668,15,18.2730061349693,202797.565078761,21939.131049,8880425.46142568,0,0.0570469798657718,0.0570469798657718,0,0.954697986577181,0.954697986577181,0,0.582214765100671,0.582214765100671,0,0.73993288590604,0.73993288590604,0,0.745901639344262,0.745901639344262,0,0.586206896551724,0.586206896551724,0,0.552147239263804,0.552147239263804,0,0.849624060150376,0.849624060150376,0,2.0625,2.0625,0,28.1950920245399,28.1950920245399,0,2.71428571428571,2.71428571428571,0,3.62888888888889,3.62888888888889,0,0.517203107658158,0.517203107658158,0,0.464566929133858,0.464566929133858,0,0.481751824817518,0.481751824817518,0.487840620536511
"10","BHAKKAR","BHAKKAR",305,"PUNJAB","BHAKKAR",2.32535357851,1830.76182111,2.32535358358,0.173854499289,"303",6.66565474292313,165.587740384615,0.724675492037279,0.589412748813629,2,32.7732371794872,662595.031514009,75802.791119,3811204.39346566,0,0.0520325203252033,0.0520325203252033,0,0.952922077922078,0.952922077922078,0,0.530081300813008,0.530081300813008,0,0.830894308943089,0.830894308943089,0,0.623287671232877,0.623287671232877,0,0.6,0.6,0,0.519108280254777,0.519108280254777,0,0.722972972972973,0.722972972972973,0,2.09876543209877,2.09876543209877,0,28.468152866242,28.468152866242,0,2.40449438202247,2.40449438202247,0,3.42740286298568,3.42740286298568,0,0.355289421157685,0.355289421157685,0,0.332819722650231,0.332819722650231,0,0.274157303370787,0.274157303370787,0.320755482392901
