"","UC","DISTRICT","TEHSIL","X","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density","penta3_in_clinic","penta3_out_clinic","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"1","1/10.L","Sahiwal","Sahiwal",1,18.4837173482646,164.404255319149,0.56224015608747,16.5957446808511,30596.5022423739,3098.847938,9287562.40272021,21,1400,0.985221674876847,0.451780799836071,0.00677671199754107
"2","1/SP WESAWEW","Okara","Depalpur",2,10.3454044948925,171.454545454545,0.752539122646505,10.5,12613.2555941928,1431.735705,3343851.34280109,61,232,0.791808873720137,0.162041080060932,0.0426056288091244
"3","10 ML","Sargodha","Bhalwal",3,10.0231516209055,190.115789473684,0.534079270613821,26.1473684210526,30910.8926333029,3130.638405,4833003.18602552,94,920,0.907297830374753,0.293869773823336,0.0300258247167322
"4","10 NB","Sargodha","Bhalwal",4,15.6614645114843,188.376811594203,0.542346691307814,22.5217391304348,41183.2800779398,4128.658865,8625144.88508845,21,675,0.969827586206897,0.163491347207733,0.00508639746868503
"5","10/11.L","Sahiwal","Chichawatni",5,21.1121520418109,157.044776119403,0.436383745118753,8.98507462686567,40779.9223387125,4084.337298,8568591.45613052,10,1274,0.992211838006231,0.311923307760073,0.0024483776119315
"6","100 SB","Sargodha","Sargodha",6,19.3904369899205,187.38,0.480511605143547,26.62,34834.9619969258,3466.030815,9879647.07479603,112,345,0.75492341356674,0.0995374878108232,0.0323136192313397
"7","100/15-L","Khanewal","Mian Channu",7,11.4062925474984,138.108108108108,0.567886337842027,30.6575342465753,37031.7853559333,3956.957855,7387629.59988911,27,1833,0.985483870967742,0.463234653278863,0.006823423698052
"8","100/WB (GARH","Vehari","Mailsi",8,11.9228368520737,126.41935483871,0.541136915645292,25.6774193548387,14082.1964002301,1593.660816,6878429.70784463,74,205,0.734767025089606,0.128634649193759,0.0464339709284789
"9","104 NB","Sargodha","Sargodha",9,17.5019030769666,187.170212765957,0.319356092747222,10.2340425531915,47661.4605748694,4742.249785,14841712.637172,167,519,0.756559766763848,0.109441725663972,0.0352153529593128
"10","104 SB","Sargodha","Sargodha",10,15.2618386806586,181.4375,0.407316046953201,13.05,41889.5581808311,4272.196678,7640795.30572289,88,1132,0.927868852459016,0.264969074534728,0.0205983026140071
"11","106/10-R","Khanewal","Jehanian",11,8.79623390066213,127.206896551724,0.595845286188454,20.2758620689655,9240.43290289847,1020.777774,4584239.79161071,0,584,1,0.57211277015912,0
"12","109 SB","Sargodha","Sargodha",12,12.0158366716825,185.761904761905,0.27058190533093,7.88888888888889,35480.1591506244,3640.90411,7928960.85285378,61,1095,0.947231833910035,0.300749475107709,0.016754080348466
"13","109/12.L","Sahiwal","Chichawatni",13,11.7202372437432,158.244444444444,0.39911172191302,7.4,21663.3592031294,2169.706584,7205429.63151898,84,690,0.891472868217054,0.318015350595443,0.0387149122464017
"14","109/EB","Pakpattan","Arifwala",14,15.2960643159582,152.31914893617,0.548747121653658,11.6595744680851,25266.2903059074,2651.372035,8155653.7402152,88,1146,0.928687196110211,0.432229044008907,0.0331903628907363
"15","11 M","Lodhran","Dunyapur",15,7.44626737634341,119.84,0.669696953296661,7.74,28647.490113679,3212.487568,8237195.54507672,0,289,1,0.0899614376344257,0
"16","11 SB","Sargodha","Bhalwal",16,9.64119052267694,192.184210526316,0.53282732908663,11.8552631578947,21506.6973574643,2182.00206,3999046.63009381,149,982,0.868258178603006,0.450045404631745,0.0682859117007433
"17","110/12-L","Sahiwal","Chichawatni",17,9.79382372939068,157.173913043478,0.400318520224613,15.2826086956522,25104.1326658146,2514.31929,7608620.06810493,0,349,1,0.138804964583476,0
"18","110/WB","Vehari","Mailsi",18,18.2290870285034,127.24,0.60665337562561,31.92,13908.485377627,1572.862572,7792336.89139456,0,190,1,0.120798856417826,0
"19","111 NB","Sargodha","Sillanwali",19,26.0793134669463,178.085106382979,0.322641520424092,11.531914893617,44994.4044851832,4786.723352,13331768.8789814,147,3077,0.954404466501241,0.642819685560972,0.0307099427291072
"20","112/7.R","Sahiwal","Chichawatni",20,7.5178378423055,154.083333333333,0.366928448279699,15.4166666666667,5875.92016039478,592.185384,6640104.59849581,0,149,1,0.251610397733153,0
"21","112/9.L","Sahiwal","Sahiwal",21,11.6902041106388,158.111111111111,0.650697081177323,24.9814814814815,28189.8893825164,2881.916705,7045785.76999607,0,840,1,0.291472685016412,0
"22","113 SB","Sargodha","Sargodha",22,14.9350048016898,183.481012658228,0.316710015263738,11.620253164557,39679.1656065672,4121.167515,7016665.08027953,533,2013,0.790652003142184,0.488453816223969,0.129332282189456
"23","114/9.L","Sahiwal","Sahiwal",23,13.5115753000433,159.285714285714,0.531696358594027,13.6,33955.5947705976,3465.802795,9379948.28202619,77,1311,0.944524495677233,0.37826733877973,0.0222170748177263
"24","115/15-L","Khanewal","Mian Channu",24,13.9643103198001,138.724137931034,0.594426341611764,25.551724137931,31022.3193459531,3313.853532,7673443.43384986,215,933,0.812717770034843,0.281545334152686,0.0648791498851314
"25","116/7CR","Sahiwal","Chichawatni",25,6.88373328408887,152.451612903226,0.391041351902869,14,11131.235810956,1115.46123,5598826.71982591,6,67,0.917808219178082,0.0600648397255367,0.00537894087094358
"26","118 NB","Sargodha","Sillanwali",26,9.84140518816506,174.317073170732,0.371941253906343,22.9512195121951,24187.0144775822,2574.814584,8373935.75950894,95,766,0.889663182346109,0.297497149798651,0.0368958606147152
"27","118/12-L","Sahiwal","Chichawatni",27,13.3600136484419,154.75,0.470647457055748,15.40625,19896.1945848319,1992.715164,8959263.39439838,0,124,1,0.0622266554900367,0
"28","119/9.L","Sahiwal","Sahiwal",28,10.2172486782074,156.75,0.51724484456437,19.1071428571429,19341.6031571396,1976.272412,9759094.30114282,67,957,0.9345703125,0.48424498272053,0.0339022088216045
"29","12-AH","Khanewal","Khanewal",29,14.6491595979007,138.12962962963,0.480268917701862,10.2962962962963,26138.1961687819,2835.050684,6875107.57809653,0,1364,1,0.4811201463515,0
"30","123/7ER","Khanewal","Mian Channu",30,18.6843906032096,151.102189781022,0.412372554305696,7.00729927007299,93907.2516012181,9996.883157,9875347.47635892,1755,5958,0.772462077012835,0.59598575940423,0.175554717649282
"31","124/15-L","Khanewal","Mian Channu",31,10.6826294990686,140.969696969697,0.666805855252526,36.469696969697,28172.7091512759,2994.816545,6221087.12070748,0,1369,1,0.457123159108232,0
"32","124/EB","Vehari","Burewala",32,10.8346658789593,143.478260869565,0.676891609378483,25.8695652173913,12366.8182797115,1283.17134,7750758.35006978,0,361,1,0.281334213714592,0
