"","UC","DISTRICT","TEHSIL","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"1","1/10.L","Sahiwal","Sahiwal",18.4837173482646,164.404255319149,0.56224015608747,16.5957446808511,30596.5022423739,3098.847938,9287562.40272021,0.988155668358714,0.565371400937712,0.00677671199754107
"2","1/SP WESAWEW","Okara","Depalpur",10.3454044948925,171.454545454545,0.752539122646505,10.5,12613.2555941928,1431.735705,3343851.34280109,0.818428184281843,0.210932785251731,0.0467963463969071
"3","10 ML","Sargodha","Bhalwal",10.0231516209055,190.115789473684,0.534079270613821,26.1473684210526,30910.8926333029,3130.638405,4833003.18602552,0.898796886058033,0.405668057343084,0.0456775844094968
"4","10 NB","Sargodha","Bhalwal",15.6614645114843,188.376811594203,0.542346691307814,22.5217391304348,41183.2800779398,4128.658865,8625144.88508845,0.956818181818182,0.203940317553943,0.00920395732428719
"5","10/11.L","Sahiwal","Chichawatni",21.1121520418109,157.044776119403,0.436383745118753,8.98507462686567,40779.9223387125,4084.337298,8568591.45613052,0.990208877284595,0.371418883730009,0.00367256641789725
"6","100 SB","Sargodha","Sargodha",19.3904369899205,187.38,0.480511605143547,26.62,34834.9619969258,3466.030815,9879647.07479603,0.79967689822294,0.142814656424225,0.0357757927204118
"7","100/15-L","Khanewal","Mian Channu",11.4062925474984,138.108108108108,0.567886337842027,30.6575342465753,37031.7853559333,3956.957855,7387629.59988911,0.985743380855397,0.611580938862438,0.00884517886784518
"8","100/WB (GARH","Vehari","Mailsi",11.9228368520737,126.41935483871,0.541136915645292,25.6774193548387,14082.1964002301,1593.660816,6878429.70784463,0.752411575562701,0.146831745908974,0.0483164292093632
"9","104 NB","Sargodha","Sargodha",17.5019030769666,187.170212765957,0.319356092747222,10.2340425531915,47661.4605748694,4742.249785,14841712.637172,0.784562211981567,0.143602726738275,0.0394327604993502
"10","104 SB","Sargodha","Sargodha",15.2618386806586,181.4375,0.407316046953201,13.05,41889.5581808311,4272.196678,7640795.30572289,0.94125159642401,0.345021568784619,0.021534589096462
