,PROVINCE,DISTRICT,TEHSIL,UC,UC_C,Flood,Area,TOWN,U_R,PROVINCE_C,DISTRICT_C,TEHSIL_C,UC_NAME,Data_Sourc,Level,School,New_Name,Shape_Leng,Shape_Area,id,penta3_in_clinic,penta3_out_clinic
487,Punjab,Lodhran,Lodhran,LODHRAN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.171089698,0.001622233,487,0,370
488,Punjab,Lodhran,Lodhran,RAILWAY STAT,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.208188061,0.001410052,488,0,302
489,Punjab,Lodhran,Kehror Pacca,DHANOT,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.409441723,0.006244405,489,182,2951
490,Punjab,Lodhran,Dunyapur,NA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.194774534,0.002266785,490,0,0
491,Punjab,Lodhran,Dunyapur,JALLAH ARAIN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.392875623,0.007135832,491,760,754
492,Punjab,Lodhran,Lodhran,WAHI SALAMAT,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.496526454,0.003813821,492,125,131
493,Punjab,Lodhran,Lodhran,SUMRA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.272943194,0.002926584,493,221,614
494,Punjab,Lodhran,Lodhran,SALSADAR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.253202292,0.00325803,494,0,121
495,Punjab,Lodhran,Lodhran,SAGWAN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.309743179,0.002171486,495,280,242
496,Punjab,Lodhran,Lodhran,SADULLAH PUR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.185462029,0.001011984,496,0,123
497,Punjab,Lodhran,Lodhran,RAWANI,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.267595479,0.0040523,497,330,497
498,Punjab,Lodhran,Lodhran,RAJA PUR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.259031456,0.003672429,498,54,1330
499,Punjab,Lodhran,Lodhran,QURASHI WALA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,1,0,NA,0.238804261,0.002685441,499,0,395
500,Punjab,Lodhran,Lodhran,M.C.(URBAN),0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.118183441,0.000703892,500,6,502
501,Punjab,Lodhran,Lodhran,GANGAY WALA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.123618613,0.000847261,501,0,166
502,Punjab,Lodhran,Lodhran,GULAB PURA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.165419278,0.001420211,502,0,165
503,Punjab,Lodhran,Lodhran,DIYANAT PURA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.120126715,0.000800761,503,190,258
504,Punjab,Lodhran,Lodhran,LAHORI,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.442179327,0.006221755,504,0,2205
505,Punjab,Lodhran,Lodhran,KUNDI,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.216592467,0.001999532,505,0,331
506,Punjab,Lodhran,Lodhran,KAMAL PUR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.298675869,0.003628199,506,0,1513
507,Punjab,Lodhran,Lodhran,IMAM BAKHSH,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.187087038,0.001718479,507,0,37
508,Punjab,Lodhran,Lodhran,HAVELI,0,NA,0,NA,NA,6,0,0,NA,Alhasan,1,0,NA,0.250591667,0.003873075,508,257,595
509,Punjab,Lodhran,Lodhran,GOGRAN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.224995597,0.002674719,509,0,349
510,Punjab,Lodhran,Lodhran,DURANWALA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.16800506,0.001673417,510,0,449
511,Punjab,Lodhran,Lodhran,DERA JAND,0,NA,0,NA,NA,6,0,0,NA,Alhasan,1,0,NA,0.347010978,0.005966785,511,673,2248
512,Punjab,Lodhran,Lodhran,DARAWRAN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.410236484,0.004540571,512,0,4463
513,Punjab,Lodhran,Lodhran,CHAMB KULYAR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,1,0,NA,0.356816442,0.004920756,513,247,905
514,Punjab,Lodhran,Lodhran,CHAT HIMTA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.262156871,0.003443223,514,473,456
515,Punjab,Lodhran,Lodhran,BHUTEJI,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.184178219,0.001588376,515,396,931
516,Punjab,Lodhran,Lodhran,ADAM WAHAN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.278067835,0.003360844,516,154,444
517,Punjab,Lodhran,Lodhran,49 M,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.510994717,0.00656876,517,171,902
518,Punjab,Lodhran,Kehror Pacca,TIBBI WADDAN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,1,0,NA,0.37454845,0.003833212,518,165,1447
519,Punjab,Lodhran,Kehror Pacca,SHAHPUR PHUL,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.348414961,0.00351596,519,114,1418
520,Punjab,Lodhran,Kehror Pacca,RANA WAHIN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.348981551,0.004951207,520,4,1571
521,Punjab,Lodhran,Kehror Pacca,NURSHAH GILL,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.296676595,0.004057211,521,0,1002
522,Punjab,Lodhran,Kehror Pacca,NAUQABIL WAH,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.291895136,0.002843548,522,129,645
523,Punjab,Lodhran,Kehror Pacca,NASSER-UD-DI,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.380599477,0.006131664,523,42,2055
524,Punjab,Lodhran,Kehror Pacca,MASSA KOTHA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.356098863,0.005236011,524,136,2060
525,Punjab,Lodhran,Kehror Pacca,BAKSHI WALA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.150755645,0.001436053,525,201,275
526,Punjab,Lodhran,Kehror Pacca,RAPPAR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.177583165,0.001916188,526,0,560
527,Punjab,Lodhran,Kehror Pacca,PATWARIAN WA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.231978826,0.002540092,527,0,693
528,Punjab,Lodhran,Kehror Pacca,JAMRANI WAH,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.242969092,0.002572799,528,0,608
529,Punjab,Lodhran,Kehror Pacca,GAHI,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.328562064,0.004398485,529,179,533
530,Punjab,Lodhran,Kehror Pacca,FARIDABAD,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.213557468,0.001978617,530,170,5332
531,Punjab,Lodhran,Kehror Pacca,DAKHNA GHARO,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.239844822,0.002395107,531,0,321
532,Punjab,Lodhran,Kehror Pacca,CHOKI MASTI,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.336589816,0.00465137,532,99,758
533,Punjab,Lodhran,Kehror Pacca,CHELEY WAHN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.580637322,0.009980715,533,196,2612
534,Punjab,Lodhran,Kehror Pacca,BURHANPUR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.352635607,0.006245097,534,164,427
535,Punjab,Lodhran,Kehror Pacca,BAHAWAL GARH,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.271768261,0.004410301,535,157,2044
536,Punjab,Lodhran,Kehror Pacca,AMIRPUR SADA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.307501207,0.003680432,536,152,1335
537,Punjab,Lodhran,Kehror Pacca,ALI PUR KANJ,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.268459741,0.003679125,537,56,909
538,Punjab,Lodhran,Dunyapur,LADDHA BOHAR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.182484096,0.001752614,538,217,521
539,Punjab,Lodhran,Dunyapur,QUTAB PUR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.230402478,0.001933154,539,49,460
540,Punjab,Lodhran,Dunyapur,MAKHDUM ALI,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.379643334,0.003995555,540,692,906
541,Punjab,Lodhran,Dunyapur,JHANDIE WAH,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.283516646,0.003921767,541,0,315
542,Punjab,Lodhran,Dunyapur,SULTAN AYUB,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.226002579,0.00255062,542,260,1795
543,Punjab,Lodhran,Dunyapur,EIDGAH WALI,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.139864021,0.001193932,543,144,317
544,Punjab,Lodhran,Dunyapur,HOUSING SCHE,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.137238095,0.001083893,544,155,2072
545,Punjab,Lodhran,Dunyapur,MAQBOOL WAH,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.339879443,0.003067614,545,0,261
546,Punjab,Lodhran,Dunyapur,386 WB,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.296566116,0.003314672,546,295,1069
547,Punjab,Lodhran,Dunyapur,355 WB,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.175254917,0.001747773,547,0,533
548,Punjab,Lodhran,Dunyapur,37 M,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.294809097,0.003883582,548,0,255
549,Punjab,Lodhran,Dunyapur,360 WB,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.210354672,0.002289136,549,222,267
550,Punjab,Lodhran,Dunyapur,357 WB,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.33123136,0.004638927,550,50,1569
551,Punjab,Lodhran,Dunyapur,384 WB,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.406338049,0.009049561,551,243,1643
552,Punjab,Lodhran,Dunyapur,353 WB,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.240709932,0.001961094,552,0,627
553,Punjab,Lodhran,Dunyapur,ZAFARABAD,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.328217429,0.005084854,553,76,1231
554,Punjab,Lodhran,Dunyapur,CHAK NO.231/,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.326758294,0.004329754,554,0,1119
555,Punjab,Lodhran,Dunyapur,SIRAJ WAL(CH,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.256924531,0.002991521,555,261,728
556,Punjab,Lodhran,Dunyapur,237 WB,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.33050035,0.004516317,556,274,808
557,Punjab,Lodhran,Dunyapur,11 M,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.25365261,0.003477821,557,0,289
558,Punjab,Toba Tek Singh,Kamalia,CHAK NO. 760,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.225661142,0.003018053,558,0,216
559,Punjab,Toba Tek Singh,Kamalia,CHAK NO. 681,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.231669112,0.002775899,559,0,1517
560,Punjab,Sialkot,Sialkot,WATER WORKS,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.121799139,0.000597148,560,0,111
561,Punjab,Sialkot,Sialkot,PURA HEERAN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.106387513,0.00040277,561,0,187
562,Punjab,Sialkot,Sialkot,SHOHABPURA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.093635501,0.000460359,562,0,218
563,Punjab,Sialkot,Sialkot,NAIKAPURA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.11619375,0.000556571,563,1,146
564,Punjab,Sialkot,Sialkot,AHMADPURA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.111542737,0.000483744,564,0,197
565,Punjab,Sialkot,Sialkot,MUZAFFERPUR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.093468452,0.000436043,565,0,122
566,Punjab,Sialkot,Sialkot,MUHAMMAD PUR,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.094893752,0.000385718,566,102,6276
567,Punjab,Sialkot,Sialkot,MOH. SHAH SY,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.108153269,0.000507067,567,136,39
568,Punjab,Sialkot,Sialkot,MODEL TOWN,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.098732947,0.000480664,568,8,5432
569,Punjab,Sialkot,Sialkot,MIANAPURA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.092315427,0.000416214,569,0,131
570,Punjab,Sialkot,Sialkot,IMAM SAHIB,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.089863219,0.000393801,570,0,147
571,Punjab,Sialkot,Sialkot,KARIMPURA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.095065585,0.000399372,571,93,105
572,Punjab,Sialkot,Sialkot,KOTLI BEHRAM,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.103073112,0.000481969,572,0,81
573,Punjab,Sialkot,Sialkot,HAJIPURA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.093248162,0.000436152,573,0,103
574,Punjab,Sialkot,Sialkot,HABIBPURA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.101823039,0.000515242,574,33,2094
575,Punjab,Sheikhupura,Ferozewala,CHAK NO.44,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.090733628,0.000388404,575,0,26
576,Punjab,Sargodha,Sargodha,LUDEWALA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.267465984,0.004354326,576,142,352
577,Punjab,Sargodha,Sargodha,CHAUKERA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.237156138,0.002333025,577,0,344
578,Punjab,Okara,Renala Khurd,RENALA-2,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.211721363,0.001710708,578,0,45
579,Punjab,Okara,Renala Khurd,RENALA-1,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.247899274,0.002838141,579,69,471
580,Punjab,Okara,Okara,OKARA -12- G,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.086844759,0.00030518,580,0,2
581,Punjab,Okara,Okara,OKARA -11,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.094846158,0.000390264,581,0,16
582,Punjab,Okara,Okara,OKARA -10,0,OKARA -10,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.109083069,0.000697852,582,0,40
583,Punjab,Okara,Okara,OKARA -7,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.117116133,0.000756789,583,0,17
